LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.1,60443.10916
AUT,Austria,7.2,53637.70571
BEL,Belgium,6.8,51247.01435
BRA,Brazil,6.1,7507.160971
CAN,Canada,7,51987.93905
CHE,Switzerland,7.5,91991.60046
CHL,Chile,6.2,16265.09598
CZE,Czech Republic,6.9,26821.24523
DEU,Germany,7.3,51203.55447
DNK,Denmark,7.5,68007.75667
ESP,Spain,6.5,30103.51373
EST,Estonia,6.5,27943.70122
FIN,Finland,7.9,53654.7503
FRA,France,6.7,43658.97898
GBR,United Kingdom,6.8,46510.28278
GRC,Greece,5.8,20192.5963
HUN,Hungary,6,18728.12189
IRL,Ireland,7,100172.0793
ISL,Iceland,7.6,68727.63666
ISR,Israel,7.2,52170.71186
ITA,Italy,6.5,35657.49756
JPN,Japan,6.1,39312.66037
KOR,Korea,5.8,34997.78164
LUX,Luxembourg,7.4,133590.147
LVA,Latvia,6.2,21148.16294
MEX,Mexico,6,10045.6805
NLD,Netherlands,7.5,57767.87881
NOR,Norway,7.3,89154.27609
NZL,New Zealand,7.3,48781.02663
POL,Poland,6.1,17999.90995
PRT,Portugal,5.8,24567.50927
RUS,Russia,5.5,12194.77734
SVK,Slovak Republic,6.5,21391.92533
SVN,Slovenia,6.5,29291.40062
SWE,Sweden,7.3,61028.73806
TUR,Türkiye,4.9,9661.235975
USA,United States,7,70248.629
ZAF,South Africa,4.9,7055.044776