day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions,mph,knots
2,2016,11,8,08/11/2016,47.2,38.2,1020.5,10,7.1,11.1,999.9,57,39,0,999.9,0,620,,0
3,2016,11,9,09/11/2016,51.6,46.1,1009.9,8.8,4.6,8.9,999.9,61,39,0,999.9,1,541,24,20.9
1,2016,11,14,14/11/2016,54.4,44.6,1015.9,9.6,10.8,15,999.9,62.1,46.9,0,999.9,0,668,,0
5,2016,11,25,25/11/2016,48.6,43.1,1023.9,10,6.9,12,999.9,51.1,34,0,999.9,0,455,,0
6,2016,11,26,26/11/2016,47,45,1018.2,6.8,6.3,14,999.9,48.9,41,0,999.9,1,463,24,20.9
2,2016,12,20,20/12/2016,34.8,25.3,1033.2,10,7,13,999.9,41,30,0,999.9,0,719,23,20
4,2016,12,22,22/12/2016,38.9,32.3,1017.7,10,6.5,15,999.9,46,27,0,999.9,0,700,37,32.1
1,2016,12,26,26/12/2016,36.4,25.6,1038.3,10,10.2,15,999.9,46,28.9,0,999.9,0,394,21,18.2
1,2017,1,2,02/01/2017,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,449,,0
5,2017,1,6,06/01/2017,31.7,25.8,1015.2,6.1,8.9,13,999.9,41,28.9,0.03,999.9,1,600,17,14.8
2,2017,1,10,10/01/2017,35.6,26.3,1037.4,10,13.6,20,999.9,42.1,15.1,0,999.9,0,597,25,21.7
5,2017,1,20,20/01/2017,39.9,32.5,1015.5,10,4.3,9.9,999.9,45,37,0,999.9,0,605,,0
6,2017,2,18,18/02/2017,37,26.6,1008.7,9.8,10.4,17.1,999.9,46.9,24.1,0,999.9,0,570,,0
2,2017,2,21,21/02/2017,37.1,26.6,1026.3,10,6.9,12,999.9,46,30,0,999.9,0,483,18,15.6
3,2017,2,22,22/02/2017,40.6,35.2,1018,9.7,7.8,12,999.9,46.9,32,0,999.9,0,477,,0
4,2017,2,23,23/02/2017,44,41.7,1012.7,5.2,8.2,14,999.9,48.9,37,0,999.9,1,581,17,14.8
5,2017,2,24,24/02/2017,47.5,44.3,1015,6.9,10,15.9,999.9,54,39.9,0,999.9,1,657,26,22.6
6,2017,2,25,25/02/2017,49.8,46.6,1010.5,6.5,10.1,15.9,999.9,57.9,44.1,0,999.9,1,573,40,34.8
2,2017,2,28,28/02/2017,44.2,39.9,1029.7,9,7.9,13,999.9,48.9,30,0,999.9,0,591,,0
2,2017,3,21,21/03/2017,39.9,26.4,1011.2,10,7.9,11.1,999.9,50,34,0,999.9,0,636,21,18.2
1,2017,4,3,03/04/2017,43,31.7,1018,10,6.9,13,999.9,54,32,0,999.9,0,646,20,17.4
1,2017,4,10,10/04/2017,46.9,39.6,1023.2,10,10.2,15.9,999.9,55,39.9,0,999.9,0,634,,0
2,2017,4,11,11/04/2017,49.8,44,1021.8,8.8,12.1,15.9,999.9,55,41,0,999.9,0,519,,0
3,2017,4,12,12/04/2017,49.1,45.1,1020.6,8.3,9.9,13,999.9,55,46,0,999.9,0,540,,0
5,2017,4,14,14/04/2017,47.5,34.1,1027.8,10,5,8.9,999.9,57.9,37.9,0,999.9,0,515,,0
6,2017,4,15,15/04/2017,46.8,38,1028.2,9.7,9.2,15,999.9,57.9,35.1,0,999.9,0,495,24,20.9
1,2017,4,24,24/04/2017,46.6,42.4,1021.9,10,7.6,9.9,999.9,55.9,42.1,0,999.9,0,541,,0
4,2017,4,27,27/04/2017,52.9,50.7,1011.6,3,5.3,12,999.9,63,48,0.06,999.9,1,688,20,17.4
1,2017,5,1,01/05/2017,49.3,45.3,1019.8,5,10.6,15.9,999.9,57.9,44.6,0,999.9,1,639,25,21.7
7,2017,5,7,07/05/2017,52.5,48.9,1004.6,7.1,10.6,15,999.9,57.9,50,0.37,999.9,1,514,30,26.1
2,2017,5,9,09/05/2017,48.3,34.9,1014.8,10,6.2,8.9,999.9,55,39.9,0,999.9,0,651,20,17.4
4,2017,5,18,18/05/2017,60.1,54.1,1012.7,7,13.2,15.9,999.9,71.1,53.1,0,999.9,0,911,28,24.3
7,2017,5,21,21/05/2017,52.7,37.3,1027.6,10,6.8,14,999.9,63,41,0,999.9,0,618,22,19.1
1,2017,5,22,22/05/2017,51.4,40.5,1023.3,9.5,8.2,13,999.9,63,41,0,999.9,0,719,,0
6,2017,5,27,27/05/2017,57.5,48.6,1011.4,10,7.2,9.9,999.9,63,51.1,0.03,999.9,0,475,,0
7,2017,5,28,28/05/2017,51.8,46.1,1015.5,9.4,6.1,12,999.9,63,45,0,999.9,0,474,21,18.2
2,2017,5,30,30/05/2017,53.5,49.6,1021,8.1,7.9,11.1,999.9,61,50,0.01,999.9,0,647,,0
3,2017,5,31,31/05/2017,55.4,53.1,1017.8,3.6,7.8,11.1,999.9,62.1,50,0.01,999.9,1,669,23,20
4,2017,6,1,01/06/2017,55.7,53.8,1013.3,3,7.7,13,999.9,61,51.8,0.01,999.9,1,654,23,20
5,2017,6,2,02/06/2017,58.2,48.2,1013.4,8.3,8.2,12,999.9,66,52,0,999.9,1,737,32,27.8
6,2017,6,3,03/06/2017,56.9,47.9,1012.4,10,8.2,14,999.9,66,43,0,999.9,0,637,32,27.8
7,2017,6,4,04/06/2017,58,49.8,1014.6,10,7.3,14,999.9,66,43,0,999.9,0,468,,0
4,2017,6,8,08/06/2017,52.7,45.2,1016.5,9.2,5.5,12,999.9,63,39.9,0.01,999.9,0,660,25,21.7
6,2017,6,10,10/06/2017,60.4,54.5,1013.9,9.3,9.1,14,999.9,70,54,0,999.9,0,665,26,22.6
7,2017,6,11,11/06/2017,61.5,55.8,1017.4,9.3,11.3,15,999.9,70,55.9,0,999.9,0,702,26,22.6
4,2017,6,15,15/06/2017,57.2,45.8,1019.1,10,7.5,14,999.9,66,46.9,0,999.9,0,771,24,20.9
7,2017,6,25,25/06/2017,68.8,60.1,1013,9.4,7.6,11.1,999.9,79,59,0,999.9,0,590,28,24.3
1,2017,6,26,26/06/2017,66.7,59.2,1015,9.8,7.8,13,999.9,79,59,0,999.9,0,669,26,22.6
2,2017,6,27,27/06/2017,64.3,61.6,1016.3,9.9,7.8,11.1,999.9,75,57.9,0,999.9,0,757,25,21.7
3,2017,6,28,28/06/2017,65.4,58,1016.7,9.9,9.9,18.1,999.9,71.1,57.9,0,999.9,0,730,25,21.7
4,2017,6,29,29/06/2017,65.6,62.6,1020.7,9.9,11.5,15,999.9,71.1,59,0,999.9,0,767,28,24.3
1,2017,7,3,03/07/2017,70.9,66.1,1013.9,8.2,9.5,14,999.9,82,64.9,0,999.9,1,617,33,28.7
2,2017,7,4,04/07/2017,72,61.5,1016.5,9.8,5.8,9.9,999.9,82,61,0,999.9,0,424,,0
3,2017,7,5,05/07/2017,67.9,58.5,1021.9,9.9,6.5,11.1,999.9,81,57.9,0,999.9,0,706,24,20.9
4,2017,7,6,06/07/2017,61.7,59.9,1021.8,9.9,5.9,8,999.9,78.1,53.1,0,999.9,0,611,17,14.8
1,2017,7,10,10/07/2017,68.3,66.1,1018.2,9.6,9,13,999.9,77,62.1,0,999.9,0,667,26,22.6
2,2017,7,11,11/07/2017,68.8,68.4,1016.1,2.7,8.6,13,999.9,75,62.1,0,999.9,1,638,,0
3,2017,7,12,12/07/2017,70.8,70.2,1015.2,1.8,7.3,11.1,999.9,77,64.9,0,999.9,1,677,28,24.3
4,2017,7,13,13/07/2017,70.8,69.6,1015.5,4.4,8.2,19,999.9,80.1,64,0,999.9,1,759,23,20
6,2017,7,15,15/07/2017,64.3,62.7,1013.9,8.4,5.6,11.1,999.9,72,60.1,0.11,999.9,0,649,,0
7,2017,7,16,16/07/2017,69.3,67.7,1013.7,5.8,7.1,12,999.9,78.1,60.1,0,999.9,1,515,20,17.4
1,2017,7,17,17/07/2017,67.3,66.8,1018.5,3.9,5.7,11.1,999.9,78.1,62.1,0,999.9,1,639,23,20
2,2017,7,18,18/07/2017,69.4,67.9,1019.6,4,5.5,8.9,999.9,78.1,62.1,0,999.9,1,706,23,20
3,2017,7,19,19/07/2017,71.6,70.3,1016.5,4.2,7.6,12,999.9,79,66,0,999.9,1,747,21,18.2
4,2017,7,20,20/07/2017,74.7,70.6,1013.9,5.3,7.7,12,999.9,84.9,66.9,0,999.9,1,774,18,15.6
5,2017,7,21,21/07/2017,75.6,69.6,1010.4,5.7,7.8,13,999.9,84.9,69.1,0,999.9,1,733,,0
6,2017,7,22,22/07/2017,74,67.2,1010.5,8.8,7.1,12,999.9,84.9,68,0,999.9,0,648,,0
7,2017,7,23,23/07/2017,68.4,63.5,1009.3,8.7,6,15.9,999.9,82,64,0,999.9,0,554,,0
3,2017,7,26,26/07/2017,63.6,58,1022.4,10,7.4,13,999.9,72,55,0,999.9,0,635,,0
4,2017,7,27,27/07/2017,61.8,59.2,1017.7,10,7.3,12,999.9,72,55,0,999.9,0,610,20,17.4
5,2017,7,28,28/07/2017,69.2,66.9,1011.3,10,8.5,11.1,999.9,77,55.9,0.02,999.9,0,685,,0
1,2017,7,31,31/07/2017,63.9,57.3,1017.8,10,4.2,8.9,999.9,73.9,50,0,999.9,0,656,,0
2,2017,8,1,01/08/2017,68.2,64.8,1017.1,10,8.6,12,999.9,75.9,50,0,999.9,0,705,,0
3,2017,8,2,02/08/2017,68.6,66.6,1018.9,9.9,6.5,11.1,999.9,75.9,63,0,999.9,0,618,33,28.7
4,2017,8,3,03/08/2017,67.5,66,1020.6,9.1,5.8,8.9,999.9,75,61,0,999.9,1,713,22,19.1
5,2017,8,4,04/08/2017,67.7,66.7,1019.7,2.9,6.3,11.1,999.9,75.9,61,0,999.9,1,758,29,25.2
6,2017,8,5,05/08/2017,67.7,67.2,1014.1,2.5,7.9,11.1,999.9,75.9,64,0,999.9,1,573,31,26.9
3,2017,8,9,09/08/2017,67.1,63.5,1021.1,8.2,6.5,11.1,999.9,75,59,0.81,999.9,1,655,,0
4,2017,8,10,10/08/2017,67.8,66,1024.2,8.8,6,8.9,999.9,75,59,0,999.9,1,650,18,15.6
5,2017,8,11,11/08/2017,67.6,65.8,1021.4,9.3,5.8,8,999.9,77,60.1,0,999.9,1,655,23,20
6,2017,8,12,12/08/2017,65.9,65.8,1016.4,4.2,5.8,12,999.9,77,60.1,0.07,999.9,1,526,23,20
7,2017,8,13,13/08/2017,71,69.3,1012.4,6.1,8.3,14,999.9,80.1,62.1,1.24,999.9,1,563,18,15.6
1,2017,8,14,14/08/2017,67.7,65.2,1016.4,6.1,4.3,8,999.9,80.1,61,0,999.9,1,602,,0
2,2017,8,15,15/08/2017,67.8,66.8,1014.6,4.3,4,8.9,999.9,79,61,0,999.9,1,577,,0
3,2017,8,16,16/08/2017,71.1,65.9,1013,6.8,6.5,15.9,999.9,79,64.9,0.23,999.9,1,600,,0
4,2017,8,17,17/08/2017,68,60.8,1016.6,9.1,5.2,8.9,999.9,79,62.1,0,999.9,0,639,21,18.2
5,2017,8,18,18/08/2017,66.6,65.6,1015.2,8,8.8,13,999.9,73.9,57.9,0,999.9,0,612,20,17.4
7,2017,8,20,20/08/2017,72.8,68.1,1014.2,6.3,9.7,14,999.9,80.1,66.9,1.01,999.9,1,538,23,20
1,2017,8,21,21/08/2017,69.9,65.6,1020.4,9.8,5.9,9.9,999.9,81,61,0,999.9,0,627,20,17.4
2,2017,8,22,22/08/2017,70.5,69.8,1017.4,6.4,10.6,15,999.9,81,61,0,999.9,0,684,22,19.1
4,2017,8,24,24/08/2017,70,60.2,1011.9,10,5.6,11.1,999.9,79,63,0,999.9,0,631,21,18.2
5,2017,8,25,25/08/2017,66.4,60,1016.2,10,5.5,13,999.9,79,57.9,0,999.9,0,633,,0
6,2017,8,26,26/08/2017,64.1,56.8,1023,9.9,3.7,8.9,999.9,73.9,54,0,999.9,0,570,,0
7,2017,8,27,27/08/2017,62.3,53.6,1024.6,10,5,9.9,999.9,73,50,0,999.9,0,498,22,19.1
6,2017,9,2,02/09/2017,58.7,45.2,1022.4,10,5.3,8.9,999.9,66.9,50,0,999.9,0,562,,0
6,2017,9,9,09/09/2017,63.1,57,1021.1,10,7.5,12,999.9,70,54,0,999.9,0,608,21,18.2
1,2017,9,11,11/09/2017,63.6,53.9,1023.1,10,7.9,14,999.9,72,52,0,999.9,0,735,,0
2,2017,9,12,12/09/2017,65.3,59.7,1015.6,10,8.3,15,999.9,73.9,57,0,999.9,0,680,,0
3,2017,9,13,13/09/2017,67.5,63.4,1011.8,9.5,8,13,999.9,75,60.1,0,999.9,0,738,,0
4,2017,9,14,14/09/2017,67.4,67.2,1012.6,5.1,9,14,999.9,75,63,0,999.9,1,728,16,13.9
5,2017,9,15,15/09/2017,67.9,67.7,1016.3,6.7,6.3,11.1,999.9,73.9,64,0.02,999.9,1,827,,0
6,2017,9,16,16/09/2017,66.8,65.5,1020.8,4.6,2.8,8,999.9,75.9,61,0,999.9,1,623,,0
7,2017,9,17,17/09/2017,64.7,64.2,1021.4,4.8,3.4,8.9,999.9,75.9,60.1,0,999.9,1,586,,0
1,2017,9,18,18/09/2017,65.7,65.5,1020.5,3.4,7.6,13,999.9,73,60.1,0,999.9,1,672,,0
7,2017,9,24,24/09/2017,65.3,64.3,1016.6,3.7,9.6,13,999.9,73,60.1,0.05,999.9,1,587,,0
1,2017,9,25,25/09/2017,64.2,63.7,1017.8,2.8,4.2,8,999.9,73,59,0,999.9,1,726,,0
2,2017,9,26,26/09/2017,65.9,65.3,1016.8,2.6,3.4,7,999.9,77,59,0.12,999.9,1,656,,0
3,2017,9,27,27/09/2017,68.7,68.6,1014,1.5,4.7,9.9,999.9,77,62.1,0,999.9,1,696,,0
6,2017,9,30,30/09/2017,56.3,50.9,1020,9.8,8.3,13,999.9,64,48,0,999.9,0,550,26,22.6
7,2017,10,1,01/10/2017,55.5,46.8,1025.7,10,7.9,11.1,999.9,63,48,0.08,999.9,0,571,,0
1,2017,10,2,02/10/2017,58,51.4,1026.8,10,9.3,15,999.9,66,48,0,999.9,0,739,20,17.4
2,2017,10,3,03/10/2017,54.1,47.5,1035.7,10,6,11.1,999.9,62.1,46,0,999.9,0,687,18,15.6
3,2017,10,4,04/10/2017,59.3,56.1,1029.6,10,12.4,19,999.9,66,46,0,999.9,0,711,22,19.1
5,2017,10,6,06/10/2017,64.9,64.2,1018.2,7.4,7.6,15,999.9,70,61,0.18,999.9,1,649,,0
6,2017,10,7,07/10/2017,63.8,63.5,1021.1,3.9,5.7,9.9,999.9,71.1,61,0,999.9,1,570,24,20.9
7,2017,10,8,08/10/2017,65.8,65.6,1017.4,9.2,12.8,15.9,999.9,71.1,61,0,999.9,0,521,20,17.4
3,2017,10,11,11/10/2017,62.1,58.7,1019.7,10,6.9,13,999.9,77,55.9,0,999.9,0,628,,0
6,2017,10,14,14/10/2017,62.4,62,1026.6,6.7,5.5,8.9,999.9,66.9,52,0,999.9,0,567,,0
4,2017,10,19,19/10/2017,59.7,58.3,1023.8,10,9.3,14,999.9,66.9,48.9,0,999.9,0,766,22,19.1
6,2017,10,21,21/10/2017,58.8,50.3,1024.1,10,7,12,999.9,68,46.9,0,999.9,0,583,,0
7,2017,10,22,22/10/2017,60.6,59.2,1028.8,10,6.9,8.9,999.9,66.9,46.9,0,999.9,0,528,,0
1,2017,10,23,23/10/2017,59.5,58.7,1026.8,6.5,7.2,12,999.9,68,52,0,999.9,1,669,32,27.8
2,2017,10,24,24/10/2017,64.3,63.4,1018.6,8.7,14.7,18.1,999.9,69.1,53.1,0,999.9,0,685,41,35.6
6,2017,10,28,28/10/2017,55.1,51.2,1019,10,6.7,13,999.9,63,42.1,0,999.9,0,615,26,22.6
3,2017,11,1,01/11/2017,50.6,39.9,1026.5,10,6.7,14,999.9,61,37.9,0,999.9,0,607,0,0
4,2017,11,2,02/11/2017,58.9,56.1,1026.9,10,10.4,15.9,999.9,64,55,0,999.9,0,746,22,19.1
5,2017,11,3,03/11/2017,58.7,58.5,1019.3,3.4,7.7,13,999.9,66,52,0,999.9,1,776,25,21.7
7,2017,11,12,12/11/2017,35.8,29.8,1032.6,10,5,12,999.9,46.9,24.1,0,999.9,0,539,,0
1,2017,11,13,13/11/2017,48.8,44.3,1026.7,10,9.2,15,999.9,52,46,0,999.9,0,699,,0
3,2017,11,15,15/11/2017,43.9,37.1,1024.1,10,11.3,17.1,999.9,48.9,39,0,999.9,0,713,,0
5,2017,11,24,24/11/2017,40.8,30.7,1016.1,10,6.9,9.9,999.9,50,33.1,0,999.9,0,502,,0
6,2017,11,25,25/11/2017,50.1,47.2,1010.6,10,7.8,9.9,999.9,55.9,34,0,999.9,0,456,20,17.4
7,2017,12,3,03/12/2017,42.6,36.3,1023.2,10,6.1,9.9,999.9,48.9,35.1,0,999.9,0,448,,0
1,2017,12,4,04/12/2017,40.9,35.1,1028.5,10,7.7,13,999.9,48.9,33.1,0,999.9,0,684,17,14.8
1,2017,12,18,18/12/2017,32.7,23.9,1021.3,9.7,4.6,11.1,999.9,43,24.1,0,999.9,0,706,,0
5,2017,12,22,22/12/2017,32.7,24.3,1026.3,9.7,6.7,15,999.9,41,24.1,0,999.9,0,720,18,15.6
3,2018,1,3,03/01/2018,25.6,18.3,1025.1,10,6.7,12,999.9,35.1,10.9,0,999.9,0,645,23,20
3,2018,1,10,10/01/2018,31.4,24.2,1029.7,10,6.6,14,999.9,42.1,21.9,0,999.9,0,687,,0
4,2018,1,11,11/01/2018,38.5,38,1030.1,10,8.6,12,999.9,45,21.9,0,999.9,0,696,,0
3,2018,1,17,17/01/2018,36,35.2,1024.3,5.5,7.7,14,999.9,41,28,0.17,999.9,1,611,,0
7,2018,1,21,21/01/2018,39.7,31.7,1018.2,10,7.2,12,999.9,48.9,28,0,999.9,0,418,,0
1,2018,1,22,22/01/2018,36.4,35.9,1023.6,7.6,4,11.1,999.9,48.9,27,0,999.9,0,559,,0
7,2018,1,28,28/01/2018,43.4,43.2,1025.3,4.4,9.5,18.1,999.9,46,28.9,0.01,999.9,1,412,23,20
2,2018,2,6,06/02/2018,30,20.2,1026.9,10,4.8,11.1,999.9,46.9,19.9,0.12,999.9,0,545,,0
6,2018,2,10,10/02/2018,41.6,39,1028.8,9,11.3,15,999.9,48,21.9,0,999.9,0,549,,0
3,2018,2,14,14/02/2018,36.9,34,1030.5,8.5,8.7,14,999.9,44.1,28,0,999.9,0,671,,0
4,2018,2,15,15/02/2018,40.8,40.8,1013.7,2.2,9.7,15,999.9,44.1,30.9,0.35,999.9,1,645,,0
1,2018,2,19,19/02/2018,38.1,35.4,1033.5,9.6,8.3,14,999.9,46.9,26.1,0.01,999.9,0,435,22,19.1
3,2018,2,21,21/02/2018,45.9,45.9,1026.2,0.2,13.3,18.1,999.9,48.9,44.1,0.02,999.9,1,601,23,20
5,2018,2,23,23/02/2018,37.5,32.5,1036.3,9.7,10.6,15,999.9,48.9,34,0.03,999.9,0,548,,0
1,2018,2,26,26/02/2018,42.1,40.1,1016.7,6.5,10.7,15,999.9,46.9,39,0.72,999.9,1,557,,0
2,2018,2,27,27/02/2018,40.3,29.3,1024.2,10,8.9,15.9,999.9,46.9,28,0,999.9,0,631,,0
4,2018,3,1,01/03/2018,46.7,41,1011.2,10,8.5,14,999.9,60.1,39,0,999.9,0,619,22,19.1
2,2018,3,20,20/03/2018,32.5,17.5,1013.5,10,9.1,12,999.9,37,26.1,0,999.9,0,597,24,20.9
5,2018,3,23,23/03/2018,37.5,31.9,1012.6,10,7,9.9,999.9,45,30,0.07,999.9,0,732,23,20
6,2018,3,24,24/03/2018,36.3,30.8,1015.4,10,6.8,15,999.9,46,26.1,0,999.9,0,550,26,22.6
3,2018,3,28,28/03/2018,40.4,32.9,1018.5,10,10.1,14,999.9,48,30.9,0,999.9,0,629,,0
4,2018,3,29,29/03/2018,41.6,40.3,1017.6,8.1,6.5,9.9,999.9,48.9,35.1,0,999.9,0,613,,0
5,2018,3,30,30/03/2018,46.8,46.8,1008.8,2.1,11.5,17.1,999.9,48.9,35.1,0,999.9,1,580,30,26.1
1,2018,4,2,02/04/2018,37.7,31.2,1018.7,8.1,8.4,14,999.9,50,33.1,0.01,999.9,1,562,,0
2,2018,4,10,10/04/2018,37.7,31.7,1021.9,9.1,6.5,11.1,999.9,42.1,30.9,0,999.9,0,668,,0
3,2018,4,11,11/04/2018,37.9,33,1021,10,6.5,9.9,999.9,44.1,30,0,999.9,0,612,,0
4,2018,4,12,12/04/2018,42.8,38.5,1019.4,10,9.8,14,999.9,50,28.9,0,999.9,0,610,23,20
4,2018,4,19,19/04/2018,41.8,40.6,1007,9.6,8.6,14,999.9,46.9,37,0.02,999.9,0,706,37,32.1
7,2018,4,22,22/04/2018,46.3,33.1,1026.8,10,7.2,14,999.9,55.9,37,0,999.9,0,568,21,18.2
2,2018,4,24,24/04/2018,44.7,41.7,1030.4,10,6.7,11.1,999.9,57.9,34,0,999.9,0,671,24,20.9
5,2018,4,27,27/04/2018,48.8,46.9,1011.9,7.8,9.2,22,999.9,55.9,39.9,0.03,999.9,1,690,20,17.4
6,2018,4,28,28/04/2018,49.5,48.3,1010.7,5.1,6.3,9.9,999.9,60.1,39.9,0.13,999.9,1,604,25,21.7
4,2018,5,3,03/05/2018,54,48.6,1015.3,9.5,13.2,15.9,999.9,66,48.9,0,999.9,0,790,40,34.8
7,2018,5,6,06/05/2018,52.5,49.7,1018.6,8.1,6.9,11.1,999.9,66,48.9,0,999.9,1,495,18,15.6
2,2018,5,8,08/05/2018,48.4,46.3,1024.3,4.9,6.9,11.1,999.9,60.1,39,0,999.9,1,736,,0
6,2018,5,12,12/05/2018,48.9,46.2,1021.1,9.5,7.3,13,999.9,52,45,0,999.9,0,602,,0
1,2018,5,14,14/05/2018,50.5,49.6,1016.9,6.4,5.5,9.9,999.9,57,48,0,999.9,1,689,20,17.4
4,2018,5,17,17/05/2018,54.1,54.1,1016.7,5.3,3.6,8,999.9,62.1,50,0.32,999.9,1,732,,0
1,2018,5,21,21/05/2018,60.9,51,1019,9.5,8.7,12,999.9,69.1,52,0.03,999.9,0,626,18,15.6
2,2018,5,22,22/05/2018,54.6,49.5,1021.1,10,7,8.9,999.9,69.1,48,0,999.9,0,689,,0
3,2018,5,23,23/05/2018,57.3,55.7,1012.9,6.9,7,15,999.9,68,50,0.24,999.9,1,729,,0
4,2018,5,24,24/05/2018,56.3,49.7,1017.5,9.6,9.6,15.9,999.9,68,50,0.11,999.9,0,770,23,20
3,2018,5,30,30/05/2018,59.2,54.2,1021.3,6.4,7.5,14,999.9,77,50,0,999.9,1,708,,0
4,2018,5,31,31/05/2018,55.1,54.6,1019.2,3.7,6.5,9.9,999.9,69.1,50,0,999.9,1,698,21,18.2
5,2018,6,1,01/06/2018,58.6,58.4,1012.6,4.8,6.2,8.9,999.9,64.9,51.1,0.13,999.9,1,751,,0
3,2018,6,6,06/06/2018,54.8,50.8,1008.9,9.7,9.6,15,999.9,61,50,0,999.9,0,651,,0
4,2018,6,7,07/06/2018,51.5,48,1020.1,10,6.5,11.1,999.9,57.9,43,0,999.9,0,693,23,20
5,2018,6,8,08/06/2018,54.8,51.9,1020.9,7.9,8,14,999.9,62.1,43,0,999.9,1,757,21,18.2
6,2018,6,9,09/06/2018,62.9,55.8,1018.7,9.8,5.7,11.1,999.9,77,45,0.06,999.9,0,706,,0
7,2018,6,10,10/06/2018,61.5,49.5,1017.3,9.4,6.8,11.1,999.9,77,54,0,999.9,1,533,,0
2,2018,6,12,12/06/2018,55.3,48.6,1022.7,10,9.6,15,999.9,64,46,0,999.9,0,720,28,24.3
5,2018,6,15,15/06/2018,59,54,1011.3,9.3,6.2,12,999.9,71.1,54,0,999.9,0,728,24,20.9
6,2018,6,16,16/06/2018,62.8,56,1014.9,9.3,8.2,12,999.9,75,51.1,0.01,999.9,0,677,,0
7,2018,6,17,17/06/2018,66.7,56.6,1017.7,10,6,8.9,999.9,82,54,0,999.9,0,627,22,19.1
